city_name,x,y,quantity
Miasto_0,8,8,5
Miasto_1,1,2,10
Miasto_2,0,3,6
Miasto_3,7,4,13
Miasto_4,5,3,1
Miasto_5,7,6,14
Miasto_6,5,6,13
Miasto_7,6,3,9
Miasto_8,3,8,15
Miasto_9,6,0,10
Miasto_10,7,2,5
Miasto_11,5,2,18
Miasto_12,8,0,18
Miasto_13,0,2,17
Miasto_14,4,8,5
Miasto_15,3,4,12
Miasto_16,4,6,18
Miasto_17,1,3,18
Miasto_18,1,1,5
Miasto_19,4,3,8
Miasto_20,2,5,4
Miasto_21,1,0,4
Miasto_22,5,0,14
Miasto_23,4,5,7
Miasto_24,8,2,10
Miasto_25,5,4,12
Miasto_26,7,8,11
Miasto_27,3,3,1
Miasto_28,2,7,4
Miasto_29,4,2,18
Miasto_30,1,5,9
Miasto_31,7,3,13
Miasto_32,8,6,3
Miasto_33,8,1,2
Miasto_34,5,8,16
Miasto_35,8,7,2
Miasto_36,1,7,13
Miasto_37,7,7,10
Miasto_38,4,4,11
Miasto_39,0,1,16
Miasto_40,2,1,2
Miasto_41,6,6,9
Miasto_42,6,7,10
Miasto_43,8,3,12
Miasto_44,7,5,17
Miasto_45,0,6,3
Miasto_46,3,1,1
Miasto_47,4,7,14
Miasto_48,2,3,18
Miasto_49,3,0,12
Miasto_50,5,1,7
Miasto_51,2,8,8
Miasto_52,3,2,1
Miasto_53,6,4,13
Miasto_54,6,2,8
Miasto_55,3,6,4
Miasto_56,5,7,15
Miasto_57,3,5,3
Miasto_58,2,2,14
Miasto_59,0,0,10
Miasto_60,0,8,10
Miasto_61,0,7,15
Miasto_62,2,4,5
Miasto_63,6,5,15
Miasto_64,0,5,6
Miasto_65,0,4,10
Miasto_66,8,4,4
Miasto_67,4,1,3
Miasto_68,4,0,18
Miasto_69,5,5,9
