city_from,city_to,time
Miasto_0,Miasto_26,2
Miasto_0,Miasto_35,14
Miasto_1,Miasto_13,10
Miasto_1,Miasto_17,5
Miasto_1,Miasto_18,8
Miasto_1,Miasto_58,10
Miasto_2,Miasto_13,1
Miasto_2,Miasto_17,10
Miasto_2,Miasto_65,15
Miasto_3,Miasto_31,4
Miasto_3,Miasto_44,17
Miasto_3,Miasto_53,17
Miasto_3,Miasto_66,17
Miasto_4,Miasto_7,16
Miasto_4,Miasto_11,1
Miasto_4,Miasto_19,14
Miasto_4,Miasto_25,15
Miasto_5,Miasto_32,5
Miasto_5,Miasto_37,4
Miasto_5,Miasto_41,17
Miasto_5,Miasto_44,3
Miasto_6,Miasto_16,4
Miasto_6,Miasto_41,14
Miasto_6,Miasto_56,9
Miasto_6,Miasto_69,16
Miasto_7,Miasto_31,5
Miasto_7,Miasto_53,3
Miasto_7,Miasto_54,14
Miasto_8,Miasto_14,7
Miasto_8,Miasto_51,17
Miasto_9,Miasto_22,11
Miasto_10,Miasto_24,18
Miasto_10,Miasto_31,7
Miasto_10,Miasto_54,11
Miasto_11,Miasto_29,3
Miasto_11,Miasto_50,14
Miasto_11,Miasto_54,5
Miasto_12,Miasto_33,12
Miasto_13,Miasto_39,7
Miasto_14,Miasto_34,4
Miasto_14,Miasto_47,9
Miasto_15,Miasto_27,1
Miasto_15,Miasto_38,2
Miasto_15,Miasto_57,9
Miasto_15,Miasto_62,16
Miasto_16,Miasto_23,17
Miasto_16,Miasto_47,16
Miasto_16,Miasto_55,6
Miasto_17,Miasto_48,3
Miasto_18,Miasto_21,6
Miasto_18,Miasto_39,2
Miasto_18,Miasto_40,18
Miasto_19,Miasto_27,18
Miasto_19,Miasto_29,18
Miasto_19,Miasto_38,18
Miasto_20,Miasto_30,18
Miasto_20,Miasto_57,14
Miasto_20,Miasto_62,11
Miasto_21,Miasto_59,16
Miasto_22,Miasto_50,8
Miasto_22,Miasto_68,8
Miasto_23,Miasto_38,11
Miasto_23,Miasto_57,10
Miasto_23,Miasto_69,15
Miasto_24,Miasto_33,17
Miasto_24,Miasto_43,17
Miasto_25,Miasto_38,10
Miasto_25,Miasto_53,18
Miasto_25,Miasto_69,1
Miasto_26,Miasto_37,2
Miasto_27,Miasto_48,3
Miasto_27,Miasto_52,16
Miasto_28,Miasto_36,1
Miasto_28,Miasto_51,8
Miasto_29,Miasto_52,9
Miasto_29,Miasto_67,13
Miasto_30,Miasto_64,17
Miasto_31,Miasto_43,7
Miasto_32,Miasto_35,9
Miasto_34,Miasto_56,2
Miasto_35,Miasto_37,5
Miasto_36,Miasto_61,14
Miasto_37,Miasto_42,6
Miasto_39,Miasto_59,3
Miasto_40,Miasto_46,12
Miasto_40,Miasto_58,9
Miasto_41,Miasto_42,3
Miasto_41,Miasto_63,12
Miasto_42,Miasto_56,4
Miasto_43,Miasto_66,8
Miasto_44,Miasto_63,4
Miasto_45,Miasto_61,7
Miasto_45,Miasto_64,6
Miasto_46,Miasto_49,10
Miasto_46,Miasto_52,2
Miasto_46,Miasto_67,1
Miasto_47,Miasto_56,1
Miasto_48,Miasto_58,8
Miasto_48,Miasto_62,14
Miasto_49,Miasto_68,15
Miasto_50,Miasto_67,18
Miasto_52,Miasto_58,1
Miasto_53,Miasto_63,4
Miasto_55,Miasto_57,11
Miasto_60,Miasto_61,8
Miasto_63,Miasto_69,8
Miasto_64,Miasto_65,17
Miasto_67,Miasto_68,3
