name,x,y,quantity
Miasto_0,14,15,1
Miasto_1,15,15,14
Miasto_2,20,4,1
Miasto_3,2,0,10
Miasto_4,19,16,16
Miasto_5,2,23,11
Miasto_6,22,12,14
Miasto_7,22,7,12
Miasto_8,13,19,15
Miasto_9,20,9,9
Miasto_10,19,5,6
Miasto_11,15,12,4
Miasto_12,18,0,4
Miasto_13,2,19,5
Miasto_14,11,11,9
Miasto_15,3,19,4
Miasto_16,0,2,4
Miasto_17,16,1,6
Miasto_18,4,8,16
Miasto_19,24,0,18
Miasto_20,17,11,14
Miasto_21,14,20,5
Miasto_22,23,20,12
Miasto_23,6,6,8
Miasto_24,14,11,16
Miasto_25,18,14,7
Miasto_26,10,14,12
Miasto_27,24,21,1
Miasto_28,4,14,7
Miasto_29,13,11,7
Miasto_30,23,16,6
Miasto_31,21,6,12
Miasto_32,22,23,10
Miasto_33,13,16,11
Miasto_34,13,4,13
Miasto_35,8,8,1
Miasto_36,18,13,11
Miasto_37,15,19,16
Miasto_38,8,10,12
Miasto_39,15,8,11
Miasto_40,1,13,8
Miasto_41,22,19,5
Miasto_42,11,21,17
Miasto_43,21,9,15
Miasto_44,13,17,7
Miasto_45,8,11,12
Miasto_46,13,21,1
Miasto_47,6,14,3
Miasto_48,12,24,9
Miasto_49,16,21,2
Miasto_50,10,4,4
Miasto_51,19,9,12
Miasto_52,22,20,6
Miasto_53,24,10,14
Miasto_54,2,7,8
Miasto_55,8,2,2
Miasto_56,5,13,8
Miasto_57,23,15,9
Miasto_58,13,5,11
Miasto_59,7,19,3
Miasto_60,17,22,15
Miasto_61,0,13,14
Miasto_62,5,22,12
Miasto_63,1,2,10
Miasto_64,21,20,11
Miasto_65,6,12,9
Miasto_66,19,18,14
Miasto_67,16,17,16
Miasto_68,23,12,13
Miasto_69,16,3,13
Miasto_70,9,3,12
Miasto_71,16,15,3
Miasto_72,3,24,14
Miasto_73,20,0,7
Miasto_74,10,5,12
Miasto_75,11,0,10
Miasto_76,2,15,5
Miasto_77,23,19,6
Miasto_78,19,14,3
Miasto_79,22,13,4
Miasto_80,1,6,11
Miasto_81,5,0,9
Miasto_82,23,21,1
Miasto_83,19,7,3
Miasto_84,21,7,4
Miasto_85,5,2,9
Miasto_86,1,9,2
Miasto_87,0,20,18
Miasto_88,16,14,3
Miasto_89,23,23,1
Miasto_90,0,24,2
Miasto_91,16,6,5
Miasto_92,8,16,16
Miasto_93,21,13,17
Miasto_94,15,16,17
Miasto_95,20,21,11
Miasto_96,14,16,3
Miasto_97,3,3,17
Miasto_98,7,14,4
Miasto_99,22,0,13
Miasto_100,6,1,16
Miasto_101,24,9,1
Miasto_102,18,5,17
Miasto_103,10,8,13
Miasto_104,0,10,4
Miasto_105,19,8,13
Miasto_106,18,3,16
Miasto_107,21,0,16
Miasto_108,11,20,16
Miasto_109,6,21,18
Miasto_110,0,6,14
Miasto_111,5,9,4
Miasto_112,3,7,14
Miasto_113,11,15,15
Miasto_114,12,0,16
Miasto_115,15,6,13
Miasto_116,12,22,6
Miasto_117,13,8,15
Miasto_118,19,10,11
Miasto_119,24,16,17
Miasto_120,1,22,16
Miasto_121,14,5,5
Miasto_122,9,12,16
Miasto_123,13,13,7
Miasto_124,5,14,4
Miasto_125,21,2,13
Miasto_126,5,24,11
Miasto_127,5,11,18
Miasto_128,14,10,5
Miasto_129,12,16,14
Miasto_130,8,0,5
Miasto_131,17,20,2
Miasto_132,24,3,10
Miasto_133,20,19,8
Miasto_134,6,11,13
Miasto_135,3,16,18
Miasto_136,14,9,15
Miasto_137,16,8,3
Miasto_138,18,16,6
Miasto_139,3,10,11
Miasto_140,14,7,2
Miasto_141,7,21,7
Miasto_142,17,17,10
Miasto_143,9,22,10
Miasto_144,16,7,6
Miasto_145,13,7,16
Miasto_146,0,21,17
Miasto_147,3,5,14
Miasto_148,0,7,6
Miasto_149,23,18,10
Miasto_150,11,19,13
Miasto_151,16,18,11
Miasto_152,5,20,5
Miasto_153,18,17,8
Miasto_154,12,6,3
Miasto_155,8,14,18
Miasto_156,2,13,15
Miasto_157,1,12,18
Miasto_158,6,20,8
Miasto_159,4,22,10
Miasto_160,16,10,7
Miasto_161,20,18,12
Miasto_162,17,6,14
Miasto_163,9,5,6
Miasto_164,1,1,7
Miasto_165,2,16,12
Miasto_166,16,2,14
Miasto_167,20,7,2
Miasto_168,9,1,3
Miasto_169,12,23,6
Miasto_170,22,18,10
Miasto_171,2,9,3
Miasto_172,3,13,7
Miasto_173,14,18,1
Miasto_174,18,22,7
Miasto_175,2,18,13
Miasto_176,9,20,9
Miasto_177,1,3,17
