city_from,city_to,time
Miasto_0,Miasto_13,6
Miasto_0,Miasto_27,9
Miasto_0,Miasto_29,7
Miasto_1,Miasto_3,4
Miasto_1,Miasto_11,1
Miasto_1,Miasto_18,4
Miasto_1,Miasto_30,9
Miasto_2,Miasto_31,13
Miasto_2,Miasto_38,4
Miasto_2,Miasto_40,17
Miasto_3,Miasto_5,15
Miasto_3,Miasto_45,11
Miasto_3,Miasto_49,2
Miasto_4,Miasto_24,10
Miasto_4,Miasto_28,3
Miasto_4,Miasto_32,3
Miasto_5,Miasto_11,6
Miasto_5,Miasto_16,5
Miasto_6,Miasto_8,16
Miasto_6,Miasto_24,12
Miasto_7,Miasto_42,1
Miasto_7,Miasto_46,2
Miasto_8,Miasto_23,12
Miasto_8,Miasto_36,9
Miasto_9,Miasto_13,14
Miasto_9,Miasto_29,12
Miasto_9,Miasto_34,2
Miasto_10,Miasto_26,10
Miasto_12,Miasto_28,4
Miasto_12,Miasto_47,15
Miasto_13,Miasto_31,5
Miasto_13,Miasto_40,1
Miasto_14,Miasto_35,18
Miasto_14,Miasto_36,4
Miasto_14,Miasto_42,12
Miasto_15,Miasto_19,2
Miasto_15,Miasto_30,17
Miasto_16,Miasto_33,1
Miasto_16,Miasto_34,8
Miasto_17,Miasto_29,14
Miasto_17,Miasto_33,18
Miasto_17,Miasto_34,5
Miasto_18,Miasto_32,13
Miasto_18,Miasto_44,5
Miasto_18,Miasto_45,14
Miasto_19,Miasto_44,14
Miasto_20,Miasto_26,18
Miasto_21,Miasto_37,9
Miasto_21,Miasto_48,12
Miasto_21,Miasto_49,4
Miasto_22,Miasto_28,12
Miasto_22,Miasto_47,6
Miasto_23,Miasto_24,11
Miasto_23,Miasto_39,2
Miasto_23,Miasto_41,5
Miasto_25,Miasto_38,9
Miasto_25,Miasto_46,14
Miasto_27,Miasto_40,14
Miasto_30,Miasto_44,10
Miasto_31,Miasto_48,11
Miasto_36,Miasto_41,1
Miasto_37,Miasto_43,18
Miasto_38,Miasto_48,9
Miasto_39,Miasto_43,6
Miasto_41,Miasto_42,17
Miasto_43,Miasto_45,4
Miasto_43,Miasto_49,6
