name,x,y,quantity
Miasto_0,7,12,18
Miasto_1,9,37,5
Miasto_2,35,26,18
Miasto_3,4,5,16
Miasto_4,6,1,18
Miasto_5,12,34,16
Miasto_6,18,24,13
Miasto_7,23,33,12
Miasto_8,33,1,11
Miasto_9,8,32,7
Miasto_10,36,10,18
Miasto_11,16,30,8
Miasto_12,3,34,6
Miasto_13,6,36,1
Miasto_14,30,11,14
Miasto_15,20,17,16
Miasto_16,20,8,10
Miasto_17,0,14,5
Miasto_18,0,31,4
Miasto_19,4,9,10
Miasto_20,32,13,8
Miasto_21,32,33,16
Miasto_22,29,30,4
Miasto_23,34,32,13
Miasto_24,6,22,3
Miasto_25,36,29,9
Miasto_26,28,30,13
Miasto_27,35,24,5
Miasto_28,15,2,15
Miasto_29,7,4,3
Miasto_30,10,37,16
Miasto_31,0,28,14
Miasto_32,12,12,11
Miasto_33,28,5,7
Miasto_34,19,30,7
Miasto_35,13,9,3
Miasto_36,32,31,1
Miasto_37,13,37,13
Miasto_38,20,0,9
Miasto_39,2,17,17
Miasto_40,28,23,17
Miasto_41,39,12,7
Miasto_42,27,20,14
Miasto_43,32,14,7
Miasto_44,4,19,17
Miasto_45,17,25,15
Miasto_46,4,33,17
Miasto_47,35,23,2
Miasto_48,38,31,7
Miasto_49,35,7,9
Miasto_50,27,23,11
Miasto_51,14,4,8
Miasto_52,11,5,16
Miasto_53,34,29,8
Miasto_54,17,2,1
Miasto_55,27,34,13
Miasto_56,32,23,8
Miasto_57,1,5,7
Miasto_58,36,34,1
Miasto_59,6,3,9
Miasto_60,29,7,9
Miasto_61,10,3,18
Miasto_62,38,8,16
Miasto_63,30,29,10
Miasto_64,23,23,17
Miasto_65,14,8,3
Miasto_66,9,33,10
Miasto_67,23,34,6
Miasto_68,19,14,16
Miasto_69,30,23,18
Miasto_70,23,29,6
Miasto_71,10,1,14
Miasto_72,26,0,16
Miasto_73,9,35,18
Miasto_74,16,38,2
Miasto_75,0,26,10
Miasto_76,5,29,15
Miasto_77,27,3,17
Miasto_78,3,27,1
Miasto_79,8,39,18
Miasto_80,36,19,1
Miasto_81,28,17,12
Miasto_82,21,18,6
Miasto_83,5,2,17
Miasto_84,13,11,11
Miasto_85,18,27,13
Miasto_86,30,0,3
Miasto_87,4,26,7
Miasto_88,23,0,1
Miasto_89,18,9,7
Miasto_90,18,37,15
Miasto_91,28,18,4
Miasto_92,28,29,2
Miasto_93,11,1,15
Miasto_94,12,1,3
Miasto_95,1,17,7
Miasto_96,32,1,11
Miasto_97,21,7,14
Miasto_98,9,38,10
Miasto_99,14,17,7
Miasto_100,0,19,1
Miasto_101,1,22,12
Miasto_102,39,39,9
Miasto_103,8,25,14
Miasto_104,5,34,7
Miasto_105,3,7,12
Miasto_106,9,7,14
Miasto_107,3,33,1
Miasto_108,5,38,2
Miasto_109,3,1,3
Miasto_110,21,16,7
Miasto_111,36,12,9
Miasto_112,19,17,11
Miasto_113,32,8,11
Miasto_114,37,15,17
Miasto_115,16,37,15
Miasto_116,16,27,7
Miasto_117,15,32,18
Miasto_118,33,32,11
Miasto_119,8,23,17
Miasto_120,17,17,13
Miasto_121,39,24,1
Miasto_122,24,8,11
Miasto_123,6,2,5
Miasto_124,27,8,13
Miasto_125,26,20,8
Miasto_126,9,20,17
Miasto_127,10,13,2
Miasto_128,6,27,4
Miasto_129,39,16,7
Miasto_130,30,3,13
Miasto_131,6,32,1
Miasto_132,3,11,13
Miasto_133,4,11,13
Miasto_134,26,4,9
Miasto_135,26,5,2
Miasto_136,12,31,4
Miasto_137,2,1,7
Miasto_138,7,34,4
Miasto_139,0,32,3
Miasto_140,0,25,13
