city_from,city_to,travel_time
Miasto_0,Miasto_1,3
Miasto_0,Miasto_25,4
Miasto_0,Miasto_39,1
Miasto_1,Miasto_2,2
Miasto_2,Miasto_3,3
Miasto_3,Miasto_4,1
Miasto_4,Miasto_5,2
Miasto_5,Miasto_6,5
Miasto_6,Miasto_7,2
Miasto_7,Miasto_24,7
Miasto_24,Miasto_23,2
Miasto_23,Miasto_22,8
Miasto_22,Miasto_21,3
Miasto_21,Miasto_20,6
Miasto_20,Miasto_19,1
Miasto_19,Miasto_15,6
Miasto_15,Miasto_16,3
Miasto_15,Miasto_14,9
Miasto_14,Miasto_17,10
Miasto_14,Miasto_18,5
Miasto_18,Miasto_19,4
Miasto_9,Miasto_10,2
Miasto_9,Miasto_20,4
Miasto_10,Miasto_11,6
Miasto_11,Miasto_13,9
Miasto_8,Miasto_10,5
Miasto_10,Miasto_5,7
Miasto_5,Miasto_12,3
Miasto_12,Miasto_11,6
Miasto_25,Miasto_26,6
Miasto_26,Miasto_27,6
Miasto_27,Miasto_28,4
Miasto_28,Miasto_29,3
Miasto_29,Miasto_30,4
Miasto_28,Miasto_31,6
Miasto_30,Miasto_37,3
Miasto_37,Miasto_38,2
Miasto_38,Miasto_36,5
Miasto_36,Miasto_34,4
Miasto_34,Miasto_33,5
Miasto_33,Miasto_32,7
Miasto_30,Miasto_31,3
Miasto_35,Miasto_37,4
Miasto_32,Miasto_31,8
Miasto_31,Miasto_35,3
Miasto_35,Miasto_33,2
Miasto_39,Miasto_40,3
Miasto_40,Miasto_41,3
Miasto_41,Miasto_42,3
Miasto_42,Miasto_43,4
Miasto_43,Miasto_45,4
Miasto_45,Miasto_46,1
Miasto_46,Miasto_47,9
Miasto_46,Miasto_48,13
Miasto_46,Miasto_51,14
Miasto_42,Miasto_44,12
Miasto_43,Miasto_49,9
Miasto_44,Miasto_49,8
Miasto_49,Miasto_50,10
Miasto_50,Miasto_52,6
Miasto_52,Miasto_53,8
Miasto_53,Miasto_54,7
Miasto_54,Miasto_55,10
Miasto_55,Miasto_51,6
