name,x,y,quantity
Miasto_0,0,0,5
Miasto_1,-1,0,4
Miasto_2,-2,0,6
Miasto_3,-3,0,5
Miasto_4,-4,0,2
Miasto_5,-5,0,3
Miasto_6,-5,1,4
Miasto_7,-5,2,5
Miasto_8,-6,1,6
Miasto_9,-7,0,2
Miasto_10,-6,0,3
Miasto_11,-6,-1,5
Miasto_12,-5,-1,8
Miasto_13,-6,-2,9
Miasto_14,-7,-2,7
Miasto_15,-8,-2,5
Miasto_16,-8,-3,8
Miasto_17,-7,-3,7
Miasto_18,-7,-1,2
Miasto_19,-8,-1,4
Miasto_20,-8,0,5
Miasto_21,-8,1,6
Miasto_22,-8,2,8
Miasto_23,-7,2,3
Miasto_24,-6,2,6
Miasto_25,0,1,1
Miasto_26,0,2,1
Miasto_27,0,3,1
Miasto_28,0,4,1
Miasto_29,-1,4,2
Miasto_30,-1,5,15
Miasto_31,0,5,23
Miasto_32,1,5,18
Miasto_33,1,6,31
Miasto_34,1,7,13
Miasto_35,0,6,19
Miasto_36,0,7,20
Miasto_37,-1,6,10
Miasto_38,-1,7,30
Miasto_39,0,-1,6
Miasto_40,1,-1,6
Miasto_41,1,-2,6
Miasto_42,2,-2,6
Miasto_43,2,-3,5
Miasto_44,3,-2,3
Miasto_45,2,-4,4
Miasto_46,2,-5,1
Miasto_47,1,-5,9
Miasto_48,2,-6,10
Miasto_49,3,-3,13
Miasto_50,4,-3,35
Miasto_51,3,-5,3
Miasto_52,5,-3,5
Miasto_53,5,-4,1
Miasto_54,5,-5,2
Miasto_55,4,-5,3
