city_from,city_to,travel_time
Miasto_0,Miasto_4,10
Miasto_0,Miasto_60,6
Miasto_0,Miasto_78,10
Miasto_0,Miasto_82,3
Miasto_1,Miasto_57,15
Miasto_1,Miasto_78,10
Miasto_1,Miasto_82,9
Miasto_2,Miasto_16,14
Miasto_2,Miasto_18,3
Miasto_2,Miasto_54,13
Miasto_2,Miasto_76,16
Miasto_3,Miasto_4,10
Miasto_3,Miasto_82,2
Miasto_3,Miasto_83,8
Miasto_4,Miasto_62,5
Miasto_5,Miasto_6,11
Miasto_5,Miasto_48,3
Miasto_5,Miasto_72,14
Miasto_5,Miasto_74,7
Miasto_6,Miasto_47,9
Miasto_6,Miasto_54,7
Miasto_7,Miasto_10,8
Miasto_7,Miasto_43,18
Miasto_8,Miasto_17,9
Miasto_8,Miasto_60,8
Miasto_8,Miasto_71,17
Miasto_9,Miasto_21,3
Miasto_9,Miasto_30,6
Miasto_9,Miasto_80,8
Miasto_10,Miasto_23,10
Miasto_10,Miasto_30,13
Miasto_11,Miasto_31,10
Miasto_11,Miasto_40,9
Miasto_11,Miasto_51,18
Miasto_12,Miasto_23,12
Miasto_12,Miasto_30,16
Miasto_12,Miasto_49,12
Miasto_12,Miasto_80,12
Miasto_13,Miasto_15,2
Miasto_13,Miasto_28,3
Miasto_13,Miasto_41,6
Miasto_14,Miasto_40,1
Miasto_14,Miasto_63,6
Miasto_14,Miasto_69,8
Miasto_15,Miasto_43,6
Miasto_16,Miasto_39,5
Miasto_16,Miasto_73,6
Miasto_16,Miasto_81,13
Miasto_17,Miasto_65,1
Miasto_18,Miasto_33,16
Miasto_18,Miasto_73,12
Miasto_19,Miasto_34,18
Miasto_19,Miasto_50,4
Miasto_19,Miasto_71,15
Miasto_20,Miasto_40,3
Miasto_20,Miasto_63,15
Miasto_21,Miasto_36,2
Miasto_22,Miasto_29,10
Miasto_22,Miasto_36,5
Miasto_22,Miasto_59,2
Miasto_23,Miasto_63,10
Miasto_24,Miasto_58,17
Miasto_24,Miasto_64,18
Miasto_24,Miasto_77,17
Miasto_24,Miasto_79,3
Miasto_25,Miasto_38,12
Miasto_25,Miasto_41,11
Miasto_25,Miasto_48,13
Miasto_26,Miasto_39,10
Miasto_26,Miasto_55,12
Miasto_26,Miasto_75,3
Miasto_27,Miasto_39,14
Miasto_27,Miasto_73,18
Miasto_27,Miasto_75,12
Miasto_28,Miasto_43,18
Miasto_28,Miasto_87,2
Miasto_29,Miasto_49,5
Miasto_29,Miasto_80,14
Miasto_31,Miasto_32,7
Miasto_31,Miasto_46,1
Miasto_31,Miasto_74,18
Miasto_32,Miasto_35,3
Miasto_32,Miasto_85,9
Miasto_33,Miasto_54,10
Miasto_34,Miasto_62,11
Miasto_34,Miasto_79,14
Miasto_35,Miasto_45,7
Miasto_35,Miasto_46,9
Miasto_35,Miasto_66,8
Miasto_36,Miasto_80,18
Miasto_37,Miasto_38,10
Miasto_37,Miasto_86,2
Miasto_38,Miasto_47,15
Miasto_39,Miasto_42,1
Miasto_40,Miasto_46,16
Miasto_41,Miasto_51,18
Miasto_42,Miasto_55,18
Miasto_42,Miasto_77,2
Miasto_42,Miasto_81,8
Miasto_44,Miasto_55,4
Miasto_44,Miasto_64,14
Miasto_44,Miasto_77,5
Miasto_45,Miasto_69,5
Miasto_45,Miasto_83,12
Miasto_46,Miasto_69,3
Miasto_47,Miasto_48,3
Miasto_47,Miasto_86,8
Miasto_48,Miasto_51,16
Miasto_49,Miasto_63,3
Miasto_50,Miasto_64,15
Miasto_50,Miasto_79,11
Miasto_51,Miasto_74,5
Miasto_52,Miasto_53,5
Miasto_52,Miasto_57,6
Miasto_52,Miasto_82,6
Miasto_52,Miasto_83,14
Miasto_53,Miasto_56,14
Miasto_53,Miasto_67,18
Miasto_54,Miasto_72,17
Miasto_56,Miasto_69,6
Miasto_56,Miasto_83,9
Miasto_57,Miasto_67,12
Miasto_58,Miasto_84,4
Miasto_58,Miasto_85,18
Miasto_59,Miasto_67,1
Miasto_60,Miasto_62,13
Miasto_60,Miasto_65,8
Miasto_61,Miasto_68,10
Miasto_61,Miasto_87,5
Miasto_62,Miasto_71,8
Miasto_65,Miasto_78,11
Miasto_66,Miasto_84,3
Miasto_66,Miasto_85,5
Miasto_70,Miasto_76,18
Miasto_70,Miasto_85,8
Miasto_72,Miasto_76,7
Miasto_76,Miasto_81,13
Miasto_79,Miasto_84,13
