city_from,city_to,time
Miasto_0,Miasto_2,5
Miasto_0,Miasto_17,2
Miasto_0,Miasto_33,13
Miasto_1,Miasto_7,12
Miasto_1,Miasto_18,2
Miasto_1,Miasto_28,11
Miasto_2,Miasto_3,12
Miasto_2,Miasto_5,13
Miasto_2,Miasto_19,18
Miasto_3,Miasto_29,7
Miasto_3,Miasto_30,15
Miasto_4,Miasto_14,1
Miasto_4,Miasto_37,6
Miasto_5,Miasto_22,18
Miasto_5,Miasto_33,1
Miasto_6,Miasto_11,9
Miasto_6,Miasto_21,18
Miasto_7,Miasto_17,2
Miasto_7,Miasto_33,10
Miasto_8,Miasto_9,10
Miasto_9,Miasto_26,16
Miasto_10,Miasto_35,13
Miasto_11,Miasto_17,2
Miasto_12,Miasto_24,3
Miasto_12,Miasto_25,17
Miasto_12,Miasto_36,10
Miasto_14,Miasto_16,13
Miasto_14,Miasto_20,11
Miasto_14,Miasto_22,3
Miasto_15,Miasto_30,6
Miasto_15,Miasto_35,8
Miasto_15,Miasto_39,18
Miasto_16,Miasto_18,13
Miasto_16,Miasto_28,18
Miasto_18,Miasto_31,3
Miasto_19,Miasto_30,5
Miasto_19,Miasto_39,18
Miasto_20,Miasto_23,2
Miasto_20,Miasto_27,18
Miasto_20,Miasto_37,9
Miasto_21,Miasto_39,10
Miasto_22,Miasto_23,8
Miasto_22,Miasto_28,6
Miasto_23,Miasto_32,7
Miasto_24,Miasto_27,15
Miasto_25,Miasto_27,1
Miasto_25,Miasto_37,1
Miasto_26,Miasto_34,11
Miasto_27,Miasto_32,6
Miasto_28,Miasto_33,15
Miasto_29,Miasto_34,1
Miasto_29,Miasto_38,15
Miasto_30,Miasto_38,4
Miasto_35,Miasto_38,13
