city_from,city_to,travel_time
Miasto_0,Miasto_1,15
Miasto_0,Miasto_6,15
Miasto_1,Miasto_2,6
Miasto_1,Miasto_5,6
Miasto_2,Miasto_3,8
Miasto_2,Miasto_4,6
Miasto_2,Miasto_7,10
Miasto_3,Miasto_20,6
Miasto_4,Miasto_5,3
Miasto_4,Miasto_19,16
Miasto_5,Miasto_6,11
Miasto_7,Miasto_8,17
Miasto_7,Miasto_19,7
Miasto_7,Miasto_20,14
Miasto_8,Miasto_9,4
Miasto_8,Miasto_13,11
Miasto_8,Miasto_23,6
Miasto_9,Miasto_10,10
Miasto_9,Miasto_24,18
Miasto_10,Miasto_11,14
Miasto_10,Miasto_12,5
Miasto_10,Miasto_13,7
Miasto_12,Miasto_14,15
Miasto_12,Miasto_15,11
Miasto_13,Miasto_14,14
Miasto_13,Miasto_19,10
Miasto_14,Miasto_16,17
Miasto_14,Miasto_18,7
Miasto_15,Miasto_16,15
Miasto_16,Miasto_17,10
Miasto_17,Miasto_18,16
Miasto_18,Miasto_19,17
Miasto_20,Miasto_21,10
Miasto_20,Miasto_23,14
Miasto_21,Miasto_22,16
Miasto_22,Miasto_23,18
Miasto_22,Miasto_25,16
Miasto_23,Miasto_24,13
Miasto_24,Miasto_25,9
Miasto_25,Miasto_26,2
Miasto_25,Miasto_29,17
Miasto_26,Miasto_27,5
Miasto_26,Miasto_45,12
Miasto_27,Miasto_28,12
Miasto_27,Miasto_29,1
Miasto_27,Miasto_31,3
Miasto_28,Miasto_35,5
Miasto_28,Miasto_45,15
Miasto_29,Miasto_30,17
Miasto_30,Miasto_31,6
Miasto_30,Miasto_44,13
Miasto_31,Miasto_32,15
Miasto_31,Miasto_35,6
Miasto_32,Miasto_33,17
Miasto_32,Miasto_39,3
Miasto_32,Miasto_44,1
Miasto_33,Miasto_34,6
Miasto_33,Miasto_35,17
Miasto_33,Miasto_36,11
Miasto_34,Miasto_38,7
Miasto_34,Miasto_39,16
Miasto_34,Miasto_41,9
