city_from,city_to,travel_time
Miasto_0,Miasto_3,3
Miasto_0,Miasto_10,9
Miasto_0,Miasto_34,16
Miasto_1,Miasto_19,9
Miasto_1,Miasto_40,12
Miasto_2,Miasto_23,15
Miasto_2,Miasto_24,4
Miasto_2,Miasto_36,16
Miasto_3,Miasto_38,7
Miasto_3,Miasto_46,10
Miasto_4,Miasto_17,4
Miasto_4,Miasto_22,7
Miasto_4,Miasto_44,7
Miasto_5,Miasto_8,16
Miasto_5,Miasto_15,12
Miasto_5,Miasto_29,4
Miasto_6,Miasto_20,5
Miasto_6,Miasto_42,5
Miasto_7,Miasto_19,3
Miasto_7,Miasto_30,12
Miasto_7,Miasto_46,17
Miasto_8,Miasto_9,7
Miasto_8,Miasto_21,11
Miasto_9,Miasto_11,6
Miasto_9,Miasto_29,3
Miasto_9,Miasto_43,8
Miasto_10,Miasto_38,18
Miasto_11,Miasto_19,18
Miasto_11,Miasto_40,15
Miasto_12,Miasto_23,13
Miasto_12,Miasto_36,4
Miasto_13,Miasto_24,15
Miasto_13,Miasto_36,14
Miasto_13,Miasto_47,18
Miasto_14,Miasto_16,11
Miasto_14,Miasto_17,14
Miasto_14,Miasto_33,10
Miasto_15,Miasto_35,15
Miasto_16,Miasto_35,17
Miasto_16,Miasto_42,7
Miasto_17,Miasto_42,12
Miasto_18,Miasto_39,17
Miasto_19,Miasto_37,15
Miasto_20,Miasto_22,5
Miasto_21,Miasto_28,7
Miasto_21,Miasto_32,6
Miasto_22,Miasto_42,16
Miasto_22,Miasto_49,13
Miasto_26,Miasto_30,18
Miasto_26,Miasto_38,7
Miasto_26,Miasto_46,6
Miasto_27,Miasto_31,8
Miasto_28,Miasto_46,18
Miasto_30,Miasto_37,4
Miasto_31,Miasto_39,7
Miasto_31,Miasto_48,6
Miasto_32,Miasto_41,16
Miasto_33,Miasto_35,3
Miasto_33,Miasto_47,2
Miasto_34,Miasto_41,2
Miasto_35,Miasto_45,11
Miasto_36,Miasto_45,12
Miasto_40,Miasto_43,16
Miasto_40,Miasto_48,4
Miasto_44,Miasto_49,7
Miasto_45,Miasto_47,6
