city_name,x,y,quantity
Miasto_0,7,1,11
Miasto_1,2,1,18
Miasto_2,7,6,10
Miasto_3,6,1,11
Miasto_4,1,7,10
Miasto_5,4,4,17
Miasto_6,2,5,8
Miasto_7,4,1,3
Miasto_8,4,3,17
Miasto_9,3,3,1
Miasto_10,7,0,6
Miasto_11,3,2,13
Miasto_12,6,5,16
Miasto_13,6,7,14
Miasto_14,3,7,4
Miasto_15,4,5,18
Miasto_16,3,6,14
Miasto_17,2,7,17
Miasto_18,0,4,10
Miasto_19,3,1,14
Miasto_20,1,5,4
Miasto_21,5,3,18
Miasto_22,1,6,17
Miasto_23,7,5,6
Miasto_24,7,7,5
Miasto_25,1,0,4
Miasto_26,5,0,18
Miasto_27,0,1,10
Miasto_28,5,2,9
Miasto_29,3,4,9
Miasto_30,4,0,1
Miasto_31,0,2,13
Miasto_32,6,3,9
Miasto_33,4,7,10
Miasto_34,7,2,7
Miasto_35,4,6,5
Miasto_36,6,6,8
Miasto_37,3,0,14
Miasto_38,6,0,15
Miasto_39,0,3,4
Miasto_40,2,2,15
Miasto_41,7,3,7
Miasto_42,2,6,10
Miasto_43,2,3,12
Miasto_44,0,7,8
Miasto_45,5,6,14
Miasto_46,5,1,7
Miasto_47,5,7,15
Miasto_48,1,2,13
Miasto_49,0,6,11
