city_name,x,y,quantity
Miasto_0,3,14,8
Miasto_1,4,7,11
Miasto_2,15,5,8
Miasto_3,4,5,13
Miasto_4,14,12,14
Miasto_5,0,8,11
Miasto_6,4,6,7
Miasto_7,10,10,6
Miasto_8,10,0,16
Miasto_9,12,3,5
Miasto_10,15,6,12
Miasto_11,15,2,15
Miasto_12,9,2,7
Miasto_13,11,3,8
Miasto_14,8,8,9
Miasto_15,8,3,2
Miasto_16,15,8,15
Miasto_17,5,8,13
Miasto_18,15,3,10
Miasto_19,5,3,13
Miasto_20,10,14,1
Miasto_21,0,2,10
Miasto_22,5,15,7
Miasto_23,5,1,4
Miasto_24,4,12,14
Miasto_25,0,6,10
Miasto_26,8,15,7
Miasto_27,1,8,16
Miasto_28,9,5,3
Miasto_29,10,7,12
Miasto_30,12,14,1
Miasto_31,11,13,15
Miasto_32,7,15,15
Miasto_33,8,10,7
Miasto_34,12,5,17
Miasto_35,11,1,15
Miasto_36,5,4,2
Miasto_37,5,9,14
Miasto_38,2,8,3
Miasto_39,8,6,7
Miasto_40,9,0,2
Miasto_41,5,11,9
Miasto_42,4,0,4
Miasto_43,12,7,15
Miasto_44,14,13,16
Miasto_45,13,15,6
Miasto_46,2,4,3
Miasto_47,13,6,17
Miasto_48,0,1,17
Miasto_49,0,7,11
Miasto_50,11,7,4
Miasto_51,12,0,14
Miasto_52,2,7,4
Miasto_53,0,14,15
Miasto_54,1,7,17
Miasto_55,15,14,12
Miasto_56,7,8,1
Miasto_57,9,13,8
Miasto_58,7,7,3
Miasto_59,11,12,5
Miasto_60,5,13,7
Miasto_61,5,7,5
Miasto_62,6,14,5
Miasto_63,13,12,4
Miasto_64,3,1,4
Miasto_65,8,7,14
Miasto_66,5,2,2
Miasto_67,1,6,18
Miasto_68,10,2,12
Miasto_69,7,2,12
Miasto_70,9,9,12
Miasto_71,14,3,13
Miasto_72,14,4,17
Miasto_73,14,7,15
Miasto_74,12,13,8
Miasto_75,15,10,15
Miasto_76,8,12,12
Miasto_77,15,15,17
Miasto_78,8,14,8
Miasto_79,10,12,12
Miasto_80,12,8,6
Miasto_81,2,9,14
Miasto_82,14,10,9
Miasto_83,13,1,10
Miasto_84,3,7,18
Miasto_85,0,0,7
Miasto_86,11,4,14
Miasto_87,6,2,7
Miasto_88,13,3,13
Miasto_89,14,2,4
Miasto_90,12,12,16
Miasto_91,4,3,5
Miasto_92,9,11,2
Miasto_93,13,14,2
Miasto_94,8,9,11
Miasto_95,1,4,4
Miasto_96,2,3,11
Miasto_97,14,8,18
Miasto_98,9,7,13
Miasto_99,2,6,16
Miasto_100,4,14,9
Miasto_101,6,15,18
Miasto_102,15,13,4
Miasto_103,10,9,7
Miasto_104,9,14,14
Miasto_105,9,15,8
Miasto_106,8,1,2
Miasto_107,1,0,12
Miasto_108,6,1,3
Miasto_109,9,8,15
Miasto_110,10,15,6
Miasto_111,14,11,10
Miasto_112,11,9,12
Miasto_113,11,10,13
Miasto_114,13,10,4
Miasto_115,6,0,18
Miasto_116,2,10,15
Miasto_117,14,1,7
Miasto_118,3,4,14
Miasto_119,12,15,3
Miasto_120,9,1,4
Miasto_121,4,1,11
Miasto_122,6,6,16
Miasto_123,13,8,1
Miasto_124,12,9,15
Miasto_125,6,9,1
Miasto_126,15,1,4
Miasto_127,14,0,11
Miasto_128,3,10,18
Miasto_129,1,5,9
Miasto_130,2,12,17
Miasto_131,11,0,3
Miasto_132,14,14,1
Miasto_133,6,8,5
Miasto_134,7,14,5
Miasto_135,1,2,15
Miasto_136,0,11,6
Miasto_137,12,10,13
Miasto_138,3,0,2
Miasto_139,4,11,7
Miasto_140,3,6,17
Miasto_141,6,12,2
Miasto_142,2,1,1
Miasto_143,11,8,4
Miasto_144,5,14,16
Miasto_145,9,12,11
Miasto_146,3,2,10
Miasto_147,12,6,16
Miasto_148,10,8,12
Miasto_149,15,11,18
Miasto_150,4,2,18
Miasto_151,11,6,3
Miasto_152,15,7,18
Miasto_153,7,1,3
Miasto_154,0,12,13
Miasto_155,11,15,5
Miasto_156,2,13,3
Miasto_157,14,9,5
Miasto_158,6,7,7
Miasto_159,1,15,3
Miasto_160,10,13,6
