city_from,city_to,travel_time
Miasto_0,Miasto_100,7
Miasto_0,Miasto_211,8
Miasto_0,Miasto_215,14
Miasto_0,Miasto_217,13
Miasto_1,Miasto_6,10
Miasto_1,Miasto_61,7
Miasto_1,Miasto_84,6
Miasto_1,Miasto_183,1
Miasto_2,Miasto_10,9
Miasto_2,Miasto_238,12
Miasto_2,Miasto_239,4
Miasto_3,Miasto_6,11
Miasto_3,Miasto_178,16
Miasto_3,Miasto_184,8
Miasto_3,Miasto_229,14
Miasto_4,Miasto_44,9
Miasto_4,Miasto_63,8
Miasto_4,Miasto_111,4
Miasto_4,Miasto_242,9
Miasto_5,Miasto_27,3
Miasto_5,Miasto_49,7
Miasto_5,Miasto_195,7
Miasto_6,Miasto_140,17
Miasto_6,Miasto_248,15
Miasto_7,Miasto_103,14
Miasto_7,Miasto_113,17
Miasto_7,Miasto_190,1
Miasto_7,Miasto_232,17
Miasto_8,Miasto_40,4
Miasto_8,Miasto_131,14
Miasto_8,Miasto_171,14
Miasto_9,Miasto_13,12
Miasto_9,Miasto_88,2
Miasto_9,Miasto_163,9
Miasto_9,Miasto_185,12
Miasto_10,Miasto_152,3
Miasto_10,Miasto_200,4
Miasto_11,Miasto_18,11
Miasto_11,Miasto_89,12
Miasto_11,Miasto_126,18
Miasto_12,Miasto_68,13
Miasto_12,Miasto_120,14
Miasto_12,Miasto_230,14
Miasto_12,Miasto_246,9
Miasto_13,Miasto_86,10
Miasto_13,Miasto_180,13
Miasto_13,Miasto_212,16
Miasto_14,Miasto_56,2
Miasto_14,Miasto_65,18
Miasto_14,Miasto_94,1
Miasto_14,Miasto_109,4
Miasto_15,Miasto_172,16
Miasto_15,Miasto_179,12
Miasto_15,Miasto_230,7
Miasto_15,Miasto_246,13
Miasto_16,Miasto_97,12
Miasto_16,Miasto_152,16
Miasto_16,Miasto_167,5
Miasto_17,Miasto_37,15
Miasto_17,Miasto_61,11
Miasto_17,Miasto_133,17
Miasto_17,Miasto_183,17
Miasto_18,Miasto_71,6
Miasto_18,Miasto_238,7
Miasto_19,Miasto_36,7
Miasto_19,Miasto_66,14
Miasto_19,Miasto_91,18
Miasto_19,Miasto_209,6
Miasto_20,Miasto_104,11
Miasto_20,Miasto_110,4
Miasto_20,Miasto_160,2
Miasto_20,Miasto_236,12
Miasto_21,Miasto_48,12
Miasto_21,Miasto_135,5
Miasto_21,Miasto_188,4
Miasto_22,Miasto_101,18
Miasto_22,Miasto_144,8
Miasto_22,Miasto_233,16
Miasto_23,Miasto_66,14
Miasto_23,Miasto_108,7
Miasto_23,Miasto_121,12
Miasto_24,Miasto_139,10
Miasto_24,Miasto_176,2
Miasto_24,Miasto_181,17
Miasto_25,Miasto_49,8
Miasto_25,Miasto_67,3
Miasto_25,Miasto_186,5
Miasto_26,Miasto_32,8
Miasto_26,Miasto_78,8
Miasto_26,Miasto_105,8
Miasto_27,Miasto_38,3
Miasto_27,Miasto_54,12
Miasto_27,Miasto_226,8
Miasto_28,Miasto_165,16
Miasto_28,Miasto_202,12
Miasto_28,Miasto_228,9
Miasto_29,Miasto_50,16
Miasto_29,Miasto_98,7
Miasto_29,Miasto_148,8
Miasto_29,Miasto_168,3
Miasto_30,Miasto_74,11
Miasto_30,Miasto_93,3
Miasto_30,Miasto_119,7
Miasto_30,Miasto_236,1
Miasto_31,Miasto_59,14
Miasto_31,Miasto_74,7
Miasto_31,Miasto_160,5
Miasto_31,Miasto_236,3
Miasto_32,Miasto_101,2
Miasto_32,Miasto_134,2
Miasto_33,Miasto_94,6
Miasto_33,Miasto_190,1
Miasto_33,Miasto_203,6
Miasto_33,Miasto_208,6
Miasto_34,Miasto_147,10
Miasto_34,Miasto_163,13
Miasto_34,Miasto_174,1
Miasto_34,Miasto_227,17
Miasto_35,Miasto_131,2
Miasto_35,Miasto_171,4
Miasto_35,Miasto_212,18
Miasto_35,Miasto_218,17
Miasto_36,Miasto_184,12
Miasto_36,Miasto_204,16
Miasto_36,Miasto_229,16
Miasto_37,Miasto_125,2
Miasto_37,Miasto_175,13
Miasto_37,Miasto_201,1
Miasto_38,Miasto_52,14
Miasto_38,Miasto_81,7
Miasto_38,Miasto_207,7
Miasto_39,Miasto_65,18
Miasto_39,Miasto_202,9
Miasto_39,Miasto_228,11
Miasto_39,Miasto_240,1
Miasto_40,Miasto_120,10
Miasto_40,Miasto_241,8
Miasto_41,Miasto_139,8
Miasto_41,Miasto_175,1
Miasto_41,Miasto_176,16
Miasto_41,Miasto_191,7
Miasto_42,Miasto_121,3
Miasto_42,Miasto_138,3
Miasto_43,Miasto_50,11
Miasto_43,Miasto_80,18
Miasto_43,Miasto_147,2
Miasto_43,Miasto_198,6
Miasto_44,Miasto_102,10
Miasto_44,Miasto_132,13
Miasto_44,Miasto_189,7
Miasto_45,Miasto_93,14
Miasto_45,Miasto_119,13
Miasto_45,Miasto_237,1
Miasto_46,Miasto_95,17
Miasto_46,Miasto_96,9
Miasto_46,Miasto_118,2
Miasto_46,Miasto_206,2
Miasto_47,Miasto_147,2
Miasto_47,Miasto_198,15
Miasto_47,Miasto_200,13
Miasto_47,Miasto_227,5
Miasto_48,Miasto_85,8
Miasto_48,Miasto_173,11
Miasto_49,Miasto_54,12
Miasto_50,Miasto_143,8
Miasto_50,Miasto_151,5
Miasto_51,Miasto_131,10
Miasto_51,Miasto_196,16
Miasto_51,Miasto_218,8
Miasto_52,Miasto_54,15
Miasto_52,Miasto_84,10
Miasto_52,Miasto_99,9
Miasto_53,Miasto_197,8
Miasto_53,Miasto_199,12
Miasto_53,Miasto_244,1
Miasto_54,Miasto_67,11
Miasto_55,Miasto_77,16
Miasto_55,Miasto_102,8
Miasto_55,Miasto_132,17
Miasto_56,Miasto_58,5
Miasto_56,Miasto_133,6
Miasto_56,Miasto_177,12
Miasto_57,Miasto_104,12
Miasto_57,Miasto_145,6
Miasto_57,Miasto_160,11
Miasto_57,Miasto_193,8
Miasto_58,Miasto_65,1
Miasto_58,Miasto_158,14
Miasto_58,Miasto_240,9
Miasto_59,Miasto_79,17
Miasto_59,Miasto_90,17
Miasto_59,Miasto_225,8
Miasto_60,Miasto_144,13
Miasto_60,Miasto_176,10
Miasto_60,Miasto_181,2
Miasto_61,Miasto_158,1
Miasto_61,Miasto_248,13
Miasto_62,Miasto_101,3
Miasto_62,Miasto_134,11
Miasto_62,Miasto_144,6
Miasto_63,Miasto_90,6
Miasto_63,Miasto_189,16
Miasto_63,Miasto_213,12
Miasto_64,Miasto_121,16
Miasto_64,Miasto_138,11
Miasto_64,Miasto_142,5
Miasto_64,Miasto_146,3
Miasto_65,Miasto_98,2
Miasto_66,Miasto_87,18
Miasto_66,Miasto_150,9
Miasto_67,Miasto_99,15
Miasto_67,Miasto_129,4
Miasto_68,Miasto_171,14
Miasto_68,Miasto_180,10
Miasto_68,Miasto_212,2
Miasto_69,Miasto_87,1
Miasto_69,Miasto_153,4
Miasto_69,Miasto_172,2
Miasto_69,Miasto_230,16
Miasto_70,Miasto_94,4
Miasto_70,Miasto_103,11
Miasto_70,Miasto_109,2
Miasto_70,Miasto_190,5
Miasto_71,Miasto_72,8
Miasto_71,Miasto_88,9
Miasto_71,Miasto_89,13
Miasto_72,Miasto_238,11
Miasto_72,Miasto_239,3
Miasto_72,Miasto_247,11
Miasto_73,Miasto_97,1
Miasto_73,Miasto_152,4
Miasto_73,Miasto_198,18
Miasto_73,Miasto_200,10
Miasto_74,Miasto_90,6
Miasto_74,Miasto_189,5
Miasto_75,Miasto_82,13
Miasto_75,Miasto_149,10
Miasto_75,Miasto_167,17
Miasto_76,Miasto_145,3
Miasto_76,Miasto_170,16
Miasto_76,Miasto_193,2
Miasto_76,Miasto_203,4
Miasto_77,Miasto_237,10
Miasto_78,Miasto_104,17
Miasto_78,Miasto_134,12
Miasto_78,Miasto_193,4
Miasto_79,Miasto_145,8
Miasto_79,Miasto_160,7
Miasto_79,Miasto_232,3
Miasto_80,Miasto_123,5
Miasto_80,Miasto_124,5
Miasto_80,Miasto_143,4
Miasto_81,Miasto_116,5
Miasto_81,Miasto_222,15
Miasto_81,Miasto_226,16
Miasto_82,Miasto_111,8
Miasto_82,Miasto_114,4
Miasto_82,Miasto_157,1
Miasto_83,Miasto_117,17
Miasto_83,Miasto_196,15
Miasto_83,Miasto_218,12
Miasto_83,Miasto_249,18
Miasto_84,Miasto_140,5
Miasto_84,Miasto_207,5
Miasto_85,Miasto_107,13
Miasto_86,Miasto_163,15
Miasto_86,Miasto_174,17
Miasto_86,Miasto_219,12
Miasto_87,Miasto_108,10
Miasto_87,Miasto_209,7
Miasto_88,Miasto_247,12
Miasto_88,Miasto_249,5
Miasto_89,Miasto_117,5
Miasto_89,Miasto_249,15
Miasto_91,Miasto_150,11
Miasto_91,Miasto_184,6
Miasto_91,Miasto_220,8
Miasto_92,Miasto_145,1
Miasto_92,Miasto_190,16
Miasto_92,Miasto_203,10
Miasto_92,Miasto_232,17
Miasto_93,Miasto_132,3
Miasto_93,Miasto_189,12
Miasto_94,Miasto_177,17
Miasto_95,Miasto_129,2
Miasto_95,Miasto_224,7
Miasto_95,Miasto_234,10
Miasto_96,Miasto_162,12
Miasto_96,Miasto_220,14
Miasto_96,Miasto_224,18
Miasto_97,Miasto_123,6
Miasto_97,Miasto_157,12
Miasto_98,Miasto_109,3
Miasto_98,Miasto_228,13
Miasto_99,Miasto_140,15
Miasto_99,Miasto_206,16
Miasto_100,Miasto_144,1
Miasto_100,Miasto_181,12
Miasto_100,Miasto_233,1
Miasto_102,Miasto_242,8
Miasto_103,Miasto_112,4
Miasto_103,Miasto_148,10
Miasto_104,Miasto_105,10
Miasto_105,Miasto_110,6
Miasto_106,Miasto_120,4
Miasto_106,Miasto_153,16
Miasto_106,Miasto_230,18
Miasto_106,Miasto_241,7
Miasto_107,Miasto_169,12
Miasto_107,Miasto_173,17
Miasto_108,Miasto_115,8
Miasto_108,Miasto_153,6
Miasto_109,Miasto_148,16
Miasto_110,Miasto_155,8
Miasto_111,Miasto_149,7
Miasto_111,Miasto_213,14
Miasto_112,Miasto_113,18
Miasto_112,Miasto_124,9
Miasto_112,Miasto_143,9
Miasto_113,Miasto_137,11
Miasto_113,Miasto_225,17
Miasto_114,Miasto_137,17
Miasto_114,Miasto_213,11
Miasto_114,Miasto_231,14
Miasto_115,Miasto_216,12
Miasto_116,Miasto_128,7
Miasto_116,Miasto_187,10
Miasto_116,Miasto_221,12
Miasto_117,Miasto_126,9
Miasto_117,Miasto_127,8
Miasto_118,Miasto_178,5
Miasto_118,Miasto_184,16
Miasto_118,Miasto_220,7
Miasto_119,Miasto_155,5
Miasto_120,Miasto_171,12
Miasto_121,Miasto_150,9
Miasto_122,Miasto_158,15
Miasto_122,Miasto_161,15
Miasto_122,Miasto_240,15
Miasto_122,Miasto_248,1
Miasto_123,Miasto_198,4
Miasto_123,Miasto_231,15
Miasto_124,Miasto_137,14
Miasto_124,Miasto_231,16
Miasto_125,Miasto_133,10
Miasto_125,Miasto_177,5
Miasto_125,Miasto_194,3
Miasto_126,Miasto_245,5
Miasto_127,Miasto_196,13
Miasto_127,Miasto_245,13
Miasto_128,Miasto_182,15
Miasto_128,Miasto_214,4
Miasto_128,Miasto_222,14
Miasto_129,Miasto_186,7
Miasto_129,Miasto_206,10
Miasto_130,Miasto_156,7
Miasto_130,Miasto_164,10
Miasto_130,Miasto_221,1
Miasto_132,Miasto_237,1
Miasto_133,Miasto_158,18
Miasto_134,Miasto_235,16
Miasto_135,Miasto_162,1
Miasto_135,Miasto_173,10
Miasto_135,Miasto_224,14
Miasto_136,Miasto_154,4
Miasto_136,Miasto_192,15
Miasto_136,Miasto_205,3
Miasto_138,Miasto_169,3
Miasto_139,Miasto_182,10
Miasto_139,Miasto_214,16
Miasto_140,Miasto_178,5
Miasto_141,Miasto_170,18
Miasto_141,Miasto_176,9
Miasto_141,Miasto_191,7
Miasto_142,Miasto_162,12
Miasto_142,Miasto_169,2
Miasto_142,Miasto_173,9
Miasto_143,Miasto_148,6
Miasto_146,Miasto_150,17
Miasto_146,Miasto_162,17
Miasto_146,Miasto_220,15
Miasto_147,Miasto_151,16
Miasto_149,Miasto_242,18
Miasto_151,Miasto_168,18
Miasto_151,Miasto_174,4
Miasto_153,Miasto_216,6
Miasto_154,Miasto_164,7
Miasto_154,Miasto_244,13
Miasto_155,Miasto_236,2
Miasto_156,Miasto_211,13
Miasto_156,Miasto_217,14
Miasto_157,Miasto_167,17
Miasto_157,Miasto_231,4
Miasto_159,Miasto_197,12
Miasto_159,Miasto_199,8
Miasto_159,Miasto_243,4
Miasto_161,Miasto_204,6
Miasto_161,Miasto_223,15
Miasto_161,Miasto_229,5
Miasto_163,Miasto_247,18
Miasto_164,Miasto_205,4
Miasto_165,Miasto_179,14
Miasto_165,Miasto_219,5
Miasto_165,Miasto_246,11
Miasto_166,Miasto_172,5
Miasto_166,Miasto_179,17
Miasto_166,Miasto_204,4
Miasto_166,Miasto_223,6
Miasto_168,Miasto_228,18
Miasto_170,Miasto_210,5
Miasto_170,Miasto_235,6
Miasto_172,Miasto_209,1
Miasto_175,Miasto_182,9
Miasto_175,Miasto_194,4
Miasto_177,Miasto_208,4
Miasto_178,Miasto_206,1
Miasto_179,Miasto_202,1
Miasto_180,Miasto_219,1
Miasto_180,Miasto_246,13
Miasto_181,Miasto_211,4
Miasto_182,Miasto_201,16
Miasto_183,Miasto_201,7
Miasto_183,Miasto_207,8
Miasto_185,Miasto_212,10
Miasto_185,Miasto_218,14
Miasto_185,Miasto_249,15
Miasto_186,Miasto_234,16
Miasto_187,Miasto_192,9
Miasto_187,Miasto_205,16
Miasto_187,Miasto_226,4
Miasto_188,Miasto_224,14
Miasto_188,Miasto_234,6
Miasto_191,Miasto_194,18
Miasto_191,Miasto_210,3
Miasto_192,Miasto_195,18
Miasto_193,Miasto_235,2
Miasto_194,Miasto_208,17
Miasto_195,Miasto_226,12
Miasto_197,Miasto_217,6
Miasto_200,Miasto_239,10
Miasto_201,Miasto_222,6
Miasto_202,Miasto_223,13
Miasto_203,Miasto_210,17
Miasto_204,Miasto_209,12
Miasto_205,Miasto_221,3
Miasto_207,Miasto_222,1
Miasto_208,Miasto_210,12
Miasto_214,Miasto_221,11
Miasto_215,Miasto_233,4
Miasto_215,Miasto_243,10
Miasto_216,Miasto_241,5
Miasto_217,Miasto_243,1
Miasto_223,Miasto_240,7
Miasto_225,Miasto_232,7
Miasto_227,Miasto_239,5
Miasto_227,Miasto_247,9
Miasto_229,Miasto_248,8
