city_from,city_to,travel_time
Miasto_0,Miasto_14,13
Miasto_0,Miasto_27,4
Miasto_1,Miasto_3,8
Miasto_1,Miasto_9,10
Miasto_1,Miasto_11,9
Miasto_2,Miasto_4,2
Miasto_2,Miasto_6,4
Miasto_2,Miasto_7,16
Miasto_2,Miasto_23,17
Miasto_3,Miasto_16,11
Miasto_4,Miasto_10,17
Miasto_4,Miasto_28,7
Miasto_5,Miasto_17,8
Miasto_5,Miasto_23,14
Miasto_7,Miasto_11,6
Miasto_7,Miasto_28,13
Miasto_8,Miasto_10,6
Miasto_8,Miasto_22,11
Miasto_8,Miasto_25,14
Miasto_9,Miasto_26,11
Miasto_10,Miasto_17,11
Miasto_10,Miasto_23,6
Miasto_11,Miasto_26,8
Miasto_12,Miasto_21,15
Miasto_12,Miasto_24,10
Miasto_13,Miasto_18,9
Miasto_13,Miasto_28,11
Miasto_13,Miasto_29,3
Miasto_14,Miasto_20,16
Miasto_15,Miasto_19,8
Miasto_15,Miasto_22,11
Miasto_15,Miasto_25,3
Miasto_16,Miasto_27,13
Miasto_16,Miasto_29,13
Miasto_17,Miasto_25,3
Miasto_18,Miasto_20,18
Miasto_18,Miasto_24,13
Miasto_19,Miasto_21,7
Miasto_20,Miasto_27,1
Miasto_20,Miasto_29,17
Miasto_21,Miasto_22,15
Miasto_22,Miasto_24,16
