name,x,y,quantity
Miasto_0,5,0,2
Miasto_1,1,4,12
Miasto_2,4,4,13
Miasto_3,4,1,13
Miasto_4,5,1,17
Miasto_5,4,3,18
Miasto_6,4,5,13
Miasto_7,0,4,12
Miasto_8,1,2,7
Miasto_9,1,3,15
Miasto_10,3,5,5
Miasto_11,4,2,16
Miasto_12,5,4,6
Miasto_13,2,2,6
Miasto_14,1,0,13
Miasto_15,2,0,18
Miasto_16,0,3,1
Miasto_17,2,3,8
Miasto_18,0,0,13
Miasto_19,4,0,16
Miasto_20,1,5,4
Miasto_21,5,2,3
Miasto_22,2,4,2
Miasto_23,3,3,2
Miasto_24,3,2,2
Miasto_25,1,1,11
Miasto_26,0,2,17
Miasto_27,3,4,11
Miasto_28,2,1,17
Miasto_29,0,1,4
